aX,aY,aZ,gX,gY,gZ
0.204,0.247,2.859,-96.436,100.342,18.188
0.487,0.275,3.382,-141.968,108.643,19.531
0.860,0.423,3.962,-198.730,106.323,21.606
1.021,0.522,4.000,-278.687,102.234,39.551
1.120,0.553,3.909,-372.314,90.454,75.439
1.028,0.401,3.184,-451.233,53.467,121.948
0.827,0.030,2.249,-497.864,-14.099,170.349
0.551,-0.263,1.461,-528.076,-84.717,193.359
0.276,-0.349,0.918,-536.255,-103.943,189.758
0.070,-0.154,0.698,-522.949,-61.829,159.973
0.006,-0.016,0.488,-503.723,6.592,115.051
0.015,0.078,0.163,-487.061,53.467,92.163
0.143,0.203,-0.107,-463.379,56.458,106.384
0.149,0.148,-0.172,-421.082,33.508,128.113
0.042,0.020,-0.082,-369.324,10.498,138.489
0.001,-0.075,0.059,-330.811,-2.808,138.916
0.006,-0.027,0.153,-315.247,-11.475,134.766
-0.029,-0.003,0.149,-316.040,-10.742,128.418
0.002,-0.023,0.126,-320.923,-0.977,125.366
-0.089,0.013,0.009,-329.590,7.507,125.671
-0.175,0.145,-0.111,-328.735,9.033,133.545
-0.178,0.243,-0.158,-308.777,3.723,136.169
-0.229,0.234,-0.121,-285.156,-6.409,132.019
-0.302,0.136,-0.163,-272.705,-9.033,127.075
-0.388,0.002,-0.354,-265.198,-6.226,131.958
-0.489,-0.112,-0.498,-251.709,-5.859,133.301
-0.504,-0.161,-0.534,-232.422,-1.648,125.122
-0.481,-0.204,-0.491,-216.431,-1.038,116.333
-0.553,-0.220,-0.520,-209.045,-3.845,113.953
-0.589,-0.149,-0.541,-203.186,-9.644,118.958
-0.617,-0.016,-0.533,-196.350,-18.005,125.427
-0.641,0.010,-0.533,-184.387,-30.212,130.188
-0.720,-0.072,-0.624,-171.814,-45.471,132.874
-0.751,-0.140,-0.775,-159.119,-60.913,136.780
-0.765,-0.183,-0.915,-145.081,-70.251,133.789
-0.739,-0.232,-0.953,-126.099,-66.772,123.657
-0.705,-0.287,-0.934,-115.173,-54.260,104.309
-0.646,-0.258,-0.956,-116.821,-37.537,82.153
-0.587,-0.219,-1.005,-122.437,-22.278,61.096
-0.541,-0.172,-1.134,-122.742,-14.771,48.279
-0.458,-0.123,-1.272,-108.093,-19.287,47.363
-0.404,-0.061,-1.275,-79.773,-33.386,56.519
-0.448,-0.013,-1.189,-50.598,-47.119,69.336
-0.506,-0.016,-1.075,-32.227,-49.438,73.792
-0.514,0.054,-0.980,-30.090,-40.222,66.467
-0.486,0.109,-0.963,-38.147,-26.611,53.711
-0.494,0.145,-0.966,-47.180,-15.991,44.067
-0.489,0.147,-1.008,-49.377,-10.193,40.466
-0.533,0.124,-1.004,-41.260,-8.972,41.626
-0.588,0.112,-0.954,-29.175,-11.292,42.419
-0.576,0.130,-0.911,-19.958,-13.062,40.894
-0.589,0.141,-0.858,-13.977,-14.709,38.391
-0.556,0.100,-0.884,-14.648,-13.916,40.100
-0.532,0.135,-0.913,-17.517,-9.521,42.480
-0.588,0.119,-0.923,-16.968,-7.751,43.213
-0.606,0.096,-0.937,-14.099,-6.409,39.307
-0.617,0.086,-0.961,-10.681,-6.958,32.166
-0.589,0.086,-0.950,-6.165,-7.507,24.170
-0.551,0.131,-0.943,-2.441,-6.836,18.188
-0.544,0.208,-0.864,0.854,-6.653,16.113
-0.520,0.233,-0.833,2.258,-4.150,16.418
-0.536,0.249,-0.839,0.916,-0.671,17.456
-0.566,0.243,-0.841,0.732,1.892,17.334
