aX,aY,aZ,gX,gY,gZ
0.067,0.904,2.018,70.435,-10.315,1.892
-0.045,1.269,2.240,83.191,-11.292,9.583
-0.276,1.609,2.364,94.849,-5.249,12.451
-0.564,2.000,2.359,111.023,2.625,7.874
-0.845,2.311,2.335,137.878,10.681,-2.197
-1.169,2.435,2.197,164.795,25.330,-19.775
-1.489,2.461,1.978,197.205,38.086,-41.077
-1.788,2.363,1.616,233.704,50.720,-66.345
-1.943,1.919,1.111,268.127,68.542,-107.483
-1.779,1.013,0.463,289.978,90.881,-170.532
-1.258,-0.104,-0.227,286.011,101.990,-240.906
-0.614,-1.026,-0.851,260.803,80.444,-298.950
-0.303,-1.312,-1.268,235.168,17.212,-334.412
-0.500,-1.241,-1.428,216.309,-59.570,-353.149
-0.651,-1.576,-1.675,227.112,-96.436,-352.539
-0.791,-2.185,-1.778,267.883,-58.594,-314.697
-0.709,-2.637,-1.852,302.673,30.884,-266.357
-0.370,-3.000,-1.794,300.659,106.750,-261.475
0.099,-3.398,-1.509,272.156,130.371,-294.250
0.648,-3.512,-0.999,242.432,130.554,-322.632
1.146,-3.305,-0.524,211.365,137.878,-307.251
1.595,-2.845,-0.408,166.321,160.095,-228.821
1.858,-2.247,-0.557,115.845,177.368,-112.427
1.833,-1.730,-0.707,70.923,163.757,-8.484
1.538,-1.414,-0.687,45.227,117.188,47.424
1.181,-1.268,-0.538,26.001,51.208,47.302
0.653,-1.271,-0.325,3.296,-13.245,21.484
0.097,-1.225,-0.097,-15.686,-56.396,10.925
-0.420,-1.212,0.083,-25.879,-73.486,15.930
-0.759,-1.265,0.226,-25.391,-65.491,23.804
-0.833,-1.238,0.376,-17.334,-40.649,22.095
-0.747,-1.109,0.368,-18.677,-15.381,14.587
-0.560,-1.002,0.199,-30.762,2.747,11.414
-0.345,-0.893,0.050,-37.720,11.841,15.137
-0.153,-0.813,-0.001,-34.058,13.794,18.127
-0.003,-0.835,-0.012,-27.954,11.658,16.602
0.089,-0.916,0.017,-20.630,5.615,12.512
0.111,-1.014,0.091,-14.893,-2.380,8.423
0.081,-1.098,0.181,-13.367,-10.498,7.874
0.029,-1.153,0.252,-16.296,-15.869,11.169
-0.007,-1.154,0.305,-22.949,-16.846,16.357
-0.076,-1.121,0.322,-29.724,-16.541,19.348
-0.116,-1.091,0.310,-36.133,-18.921,21.851
-0.163,-1.088,0.293,-40.344,-19.836,23.987
-0.173,-1.101,0.303,-38.208,-18.616,24.475
-0.159,-1.124,0.330,-33.997,-15.076,24.170
-0.135,-1.150,0.349,-30.518,-11.658,25.085
-0.143,-1.138,0.371,-29.175,-10.803,25.940
-0.179,-1.083,0.390,-30.090,-12.756,26.978
-0.233,-1.026,0.395,-33.081,-14.160,29.419
-0.263,-0.965,0.395,-35.156,-10.986,32.104
-0.244,-0.924,0.369,-34.973,-3.540,32.959
-0.182,-0.944,0.328,-35.522,3.784,32.776
-0.088,-0.988,0.305,-36.743,7.690,32.959
-0.009,-1.051,0.288,-40.039,8.118,34.119
0.047,-1.105,0.322,-46.753,6.958,39.429
0.071,-1.123,0.313,-56.641,8.484,48.584
0.112,-1.082,0.282,-61.890,9.094,56.274
0.141,-1.058,0.252,-64.026,4.944,60.059
0.141,-1.037,0.254,-63.599,-2.319,64.636
0.144,-1.032,0.284,-59.937,-7.690,70.251
0.085,-1.062,0.325,-59.998,-12.756,73.792
0.031,-1.084,0.387,-64.331,-16.968,74.585
0.016,-1.080,0.474,-72.388,-15.320,73.730
0.002,-1.041,0.436,-83.740,-7.568,74.280
0.041,-1.032,0.357,-93.079,-4.944,73.669
0.066,-1.054,0.368,-101.563,-8.911,72.021
0.098,-1.012,0.450,-103.821,-12.512,70.923
0.107,-1.001,0.525,-105.835,-11.169,70.557
0.129,-0.994,0.535,-114.868,-7.141,70.007
0.149,-0.944,0.520,-121.887,-3.601,69.580
0.170,-0.888,0.532,-124.084,-2.808,70.251
0.179,-0.819,0.565,-122.681,-1.709,74.707
0.188,-0.736,0.560,-116.943,2.991,82.642
0.172,-0.731,0.530,-112.732,7.690,89.600
0.161,-0.762,0.535,-110.535,7.141,90.332
0.172,-0.755,0.577,-105.774,1.770,83.313
0.176,-0.747,0.623,-105.164,-5.798,75.012
0.207,-0.688,0.719,-107.666,-12.207,70.313
0.235,-0.610,0.782,-105.713,-12.817,70.129
0.229,-0.567,0.780,-105.713,-8.484,75.012
0.198,-0.574,0.763,-108.032,-3.357,83.252
0.176,-0.548,0.771,-106.079,1.709,90.576
0.165,-0.494,0.797,-98.450,7.812,93.750
0.189,-0.433,0.780,-91.614,12.695,93.018
